Outcome,effect,term,estimate,std.error,statistic,conf.low,conf.high
BMI,fixed,followup_period1–6m:SurgeryTypeNameRYGB,-0.3460314051989472,0.3072383157635563,-1.1262638396483242,-0.9482074387662622,0.25614462836836777
BMI,fixed,followup_period6–12m:SurgeryTypeNameRYGB,-0.24653885077355256,0.3442227897375001,-0.7162188504763439,-0.9212031213169563,0.4281254197698512
BMI,fixed,followup_period12–24m:SurgeryTypeNameRYGB,-1.1373447430065229,0.415475161585376,-2.7374554441873893,-1.951661096184819,-0.3230283898282267
BMI,fixed,followup_period>24m:SurgeryTypeNameRYGB,-1.7990070342411377,0.4631409657544747,-3.884361711148754,-2.7067466468850068,-0.8912674215972689
TWL,fixed,(Intercept),3.275196472918016,0.48321010614440896,6.777996633909831,2.328122067909198,4.222270877926834
TWL,fixed,followup_period0–1m,8.3149251964379,0.5842827294391532,14.230996018689973,7.169752089948399,9.4600983029274
TWL,fixed,followup_period1–6m,16.0329275150233,0.3284495670224341,48.81397062072608,15.389178192921554,16.676676837125044
TWL,fixed,followup_period6–12m,28.251422581493202,0.39891917629219364,70.81991606440116,27.469555363218117,29.033289799768287
TWL,fixed,followup_period12–24m,31.833719596941446,0.5076278294195153,62.7107454556699,30.838787333728956,32.82865186015394
TWL,fixed,followup_period>24m,26.18909797512569,0.6031230807095354,43.42247679249136,25.00699845869016,27.371197491561222
TWL,fixed,SurgeryTypeNameOAGB,0.11008947150190196,0.3336846072586492,0.32992073684887785,-0.543920340920443,0.7640992839242469
TWL,fixed,SurgeryTypeNameRYGB,-0.31590892632446,0.5124427309592405,-0.6164765489659902,-1.3202782231439198,0.6884603704949998
TWL,fixed,Age,-0.058661447883455085,0.010193953985525991,-5.75453332109859,-0.07864123055514456,-0.03868166521176561
TWL,fixed,SexMale,0.7852916868174777,0.2522601103824286,3.1130236390801875,0.2908709557318192,1.2797124179031363
TWL,fixed,T2DM_FBSYes,-0.5140507195529893,0.2817068484335722,-1.8247718236576875,-1.0661859966810745,0.03808455757509577
TWL,fixed,HTN_FBSYes,0.12470123853502776,0.27318596487855634,0.4564701506186936,-0.4107334137087666,0.6601358907788222
TWL,fixed,Hypothyroidism_FBSYes,-0.5365306651162098,0.2546243113527201,-2.1071462589955794,-1.0355851449558544,-0.03747618527656532
TWL,fixed,followup_period0–1m:SurgeryTypeNameOAGB,-0.23296263953132104,0.6908146354350948,-0.3372288709323515,-1.586934444977274,1.1210091659146317
TWL,fixed,followup_period1–6m:SurgeryTypeNameOAGB,-0.3687524590423248,0.39070308199343284,-0.9438176355325576,-1.1345164283982527,0.39701151031360316
TWL,fixed,followup_period6–12m:SurgeryTypeNameOAGB,1.2156513086925163,0.47138078693164215,2.578915692778979,0.29176194330234884,2.1395406740826837
TWL,fixed,followup_period12–24m:SurgeryTypeNameOAGB,3.5085899013364394,0.5980083736219678,5.867125037206255,2.3365150265840104,4.680664776088868
TWL,fixed,followup_period>24m:SurgeryTypeNameOAGB,6.943471464376536,0.6912495392994219,10.044811706368312,5.588647263019765,8.298295665733308
TWL,fixed,followup_period0–1m:SurgeryTypeNameRYGB,0.1048410819451364,0.9426347925564111,0.11122131579803987,-1.742689162039814,1.9523713259300868
TWL,fixed,followup_period1–6m:SurgeryTypeNameRYGB,0.854855505644521,0.6100388496623373,1.4013132214738324,-0.34079866886390453,2.0505096801529463
TWL,fixed,followup_period6–12m:SurgeryTypeNameRYGB,1.2558144670081053,0.6780573787461274,1.8520769869511249,-0.07315357478593887,2.5847825088021494
TWL,fixed,followup_period12–24m:SurgeryTypeNameRYGB,3.012088401014603,0.8144117137508846,3.698483641820447,1.4158707734753258,4.608306028553881
TWL,fixed,followup_period>24m:SurgeryTypeNameRYGB,3.362864718403401,0.9009645345415129,3.732516197338124,1.5970066793541424,5.1287227574526595
FATP,fixed,(Intercept),49.27558001818791,0.5651001488766185,87.19795971766152,48.168004078731514,50.383155957644306
FATP,fixed,followup_period0–1m,-1.1097705238530102,0.4185744724817713,-2.6513096158804577,-1.9301614147651338,-0.28937963294088664
FATP,fixed,followup_period1–6m,-4.197083677384416,0.2314427552411366,-18.13443532942537,-4.650703142139763,-3.74346421262907
FATP,fixed,followup_period6–12m,-11.705254965143677,0.28379718688025474,-41.245140918477766,-12.261487230342759,-11.149022699944595
FATP,fixed,followup_period12–24m,-13.888002394481878,0.3639836278985418,-38.15556890474501,-14.601397196125248,-13.174607592838509
FATP,fixed,followup_period>24m,-9.039445679180952,0.4343508513681887,-20.811391645042345,-9.890757704516911,-8.188133653844993
FATP,fixed,SurgeryTypeNameOAGB,0.5908307396436089,0.33225305569588587,1.778255247062051,-0.060373283273707945,1.2420347625609258
FATP,fixed,SurgeryTypeNameRYGB,-1.2729774286046889,0.5100959975219217,-2.4955644325556228,-2.2727472124056876,-0.27320764480369
FATP,fixed,Age,0.008875807816250693,0.0127750760842244,0.6947753389282113,-0.01616288120858811,0.03391449684108949
FATP,fixed,SexMale,-9.442088570341388,0.31280651010553284,-30.18507692552777,-10.055178064277897,-8.82899907640488
FATP,fixed,T2DM_FBSYes,-1.2279076964347428,0.35363623785554354,-3.4722337956109843,-1.921021986259848,-0.5347934066096376
FATP,fixed,HTN_FBSYes,-0.06330936036092823,0.3441906286536995,-0.18393690905694493,-0.7379105963383791,0.6112918756165225
FATP,fixed,Hypothyroidism_FBSYes,0.7361054274525449,0.31933382236895713,2.30512828860969,0.11022263656387798,1.361988218341212
FATP,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.37588476777403457,0.4945507783538343,0.7600529292971848,-0.5934169463257314,1.3451864818738004
FATP,fixed,followup_period1–6m:SurgeryTypeNameOAGB,-0.09568065452899038,0.2752620249224555,-0.3475984548029999,-0.6351843096885699,0.44382300063058905
