Outcome,SurgeryTypeName,followup_period,n,mean,sd,se,lower,upper,OutcomeLabel,period_index
Weight,SG,0–1m,126,109.2547619532025,18.017016944243306,1.605083441358553,106.10879840813973,112.40072549826527,Weight (kg),2
Weight,SG,1–6m,695,101.16503595804997,18.231347896700065,0.6915544435467267,99.80958924869839,102.52048266740155,Weight (kg),3
Weight,SG,6–12m,356,86.67612360407797,15.432351886694319,0.8179130141704064,85.07301409630398,88.27923311185197,Weight (kg),4
Weight,SG,12–24m,188,81.93670213577595,16.70471080644528,1.218316249878464,79.54880228601415,84.32460198553774,Weight (kg),5
Weight,SG,>24m,127,89.2259842519685,21.03016055082321,1.8661249858838942,85.56837927963606,92.88358922430093,Weight (kg),6
Weight,OAGB,Pre,1382,119.66895808041872,21.74347949510671,0.5848911117099101,118.5225715014673,120.81534465937014,Weight (kg),1
Weight,OAGB,0–1m,316,111.15632914289644,19.2460919462379,1.0826772594411027,109.03428171439188,113.278376571401,Weight (kg),2
Weight,OAGB,1–6m,1623,99.208256296662,17.918453950089532,0.44477592852316195,98.3364954767566,100.0800171165674,Weight (kg),3
Weight,OAGB,6–12m,910,84.31890111902258,15.52920580301641,0.514788159644695,83.30991632611898,85.32788591192619,Weight (kg),4
Weight,OAGB,12–24m,487,77.95585215605749,14.433686932620416,0.6540527870063351,76.67390869352508,79.2377956185899,Weight (kg),5
Weight,OAGB,>24m,442,80.88303167420814,17.24081685549729,0.8200620297761272,79.27571009584693,82.49035325256935,Weight (kg),6
Weight,RYGB,Pre,238,116.1815126370983,18.9652846187988,1.2293368108131975,113.77201248790443,118.59101278629215,Weight (kg),1
Weight,RYGB,0–1m,84,104.73690459841772,14.975238675525604,1.6339324947768172,101.53439690865517,107.93941228818028,Weight (kg),2
Weight,RYGB,1–6m,269,97.34981411504923,17.970088393527995,1.0956556266954178,95.20232908672621,99.49729914337225,Weight (kg),3
Weight,RYGB,6–12m,216,81.03009268089578,13.437080662488937,0.9142775348810234,79.23810871252897,82.82207664926258,Weight (kg),4
Weight,RYGB,12–24m,134,75.2723880597015,14.221086694092724,1.228514777248191,72.86449909629505,77.68027702310795,Weight (kg),5
Weight,RYGB,>24m,122,82.0172131147541,14.992282822679089,1.357337510231687,79.3568315947,84.6775946348082,Weight (kg),6
